start
use_cuda: True
learning starting
epoch: 0, loss: 1.033, valid accuracy: 0.48087, train accuracy: 0.48386
epoch: 82, loss: 0.375, valid accuracy: 0.64104, train accuracy: 0.83247
epoch: 83, loss: 0.374, valid accuracy: 0.63881, train accuracy: 0.83254
epoch: 84, loss: 0.373, valid accuracy: 0.63385, train accuracy: 0.83344
epoch: 85, loss: 0.373, valid accuracy: 0.63560, train accuracy: 0.83343
epoch: 86, loss: 0.372, valid accuracy: 0.63896, train accuracy: 0.83368
epoch: 87, loss: 0.372, valid accuracy: 0.63537, train accuracy: 0.83414
epoch: 88, loss: 0.372, valid accuracy: 0.63652, train accuracy: 0.83410
epoch: 89, loss: 0.371, valid accuracy: 0.63734, train accuracy: 0.83417
epoch: 90, loss: 0.372, valid accuracy: 0.63801, train accuracy: 0.83352
epoch: 91, loss: 0.371, valid accuracy: 0.63840, train accuracy: 0.83427
epoch: 92, loss: 0.371, valid accuracy: 0.63729, train accuracy: 0.83423
epoch: 93, loss: 0.371, valid accuracy: 0.63478, train accuracy: 0.83399
epoch: 94, loss: 0.371, valid accuracy: 0.63801, train accuracy: 0.83459
epoch: 95, loss: 0.371, valid accuracy: 0.63668, train accuracy: 0.83470
epoch: 96, loss: 0.369, valid accuracy: 0.63596, train accuracy: 0.83440
epoch: 97, loss: 0.371, valid accuracy: 0.64046, train accuracy: 0.83491
epoch: 98, loss: 0.370, valid accuracy: 0.63674, train accuracy: 0.83524
epoch: 99, loss: 0.371, valid accuracy: 0.63114, train accuracy: 0.83442
done
